id,modality,inferred_relationship,resolution,true_relationship,metadata_correct,obj_1_method,obj_1_candidate_count,obj_1_meta_row,obj_1_uuid,obj_1_image_id,obj_1_doi,obj_2_method,obj_2_candidate_count,obj_2_meta_row,obj_2_uuid,obj_2_image_id,obj_2_doi
0,text-image,same_figure,unique,same_figure,True,caption_exact,1,76674,10.3847.1538-3881.ae0f19_ajae0f19f11_83890,ajae0f19f11,10.3847/1538-3881/ae0f19,image_raw_exact,1,76674,10.3847.1538-3881.ae0f19_ajae0f19f11_83890,ajae0f19f11,10.3847/1538-3881/ae0f19
1,text-image,same_figure,unique,same_figure,True,caption_exact,1,80483,10.3847.1538-3881.ada4b1_ajada4b1f1_87889,ajada4b1f1,10.3847/1538-3881/ada4b1,image_raw_exact,1,80483,10.3847.1538-3881.ada4b1_ajada4b1f1_87889,ajada4b1f1,10.3847/1538-3881/ada4b1
2,text-image,same_figure,unique,same_figure,True,caption_exact,1,75341,10.3847.1538-3881.add269_ajadd269f2_82525,ajadd269f2,10.3847/1538-3881/add269,image_raw_exact,1,75341,10.3847.1538-3881.add269_ajadd269f2_82525,ajadd269f2,10.3847/1538-3881/add269
3,text-image,same_figure,unique,same_figure,True,caption_exact,1,3733,10.3847.1538-4357.ac91ce_apjac91cef20_4060,apjac91cef20,10.3847/1538-4357/ac91ce,image_raw_exact,1,3733,10.3847.1538-4357.ac91ce_apjac91cef20_4060,apjac91cef20,10.3847/1538-4357/ac91ce
4,text-image,same_figure,unique,same_figure,True,caption_exact,1,41461,10.3847.PSJ.ad06af_psjad06aff3_45569,psjad06aff3,10.3847/psj/ad06af,image_raw_exact,1,41461,10.3847.PSJ.ad06af_psjad06aff3_45569,psjad06aff3,10.3847/psj/ad06af
5,text-image,same_figure,unique,same_figure,True,caption_exact,1,70107,10.3847.1538-4357.ae102d_apjae102df9_76971,apjae102df9,10.3847/1538-4357/ae102d,image_raw_exact,1,70107,10.3847.1538-4357.ae102d_apjae102df9_76971,apjae102df9,10.3847/1538-4357/ae102d
6,text-image,same_figure,unique,same_figure,True,caption_exact,1,66224,10.3847.1538-4357.ae1734_apjae1734f7_73032,apjae1734f7,10.3847/1538-4357/ae1734,image_raw_exact,1,66224,10.3847.1538-4357.ae1734_apjae1734f7_73032,apjae1734f7,10.3847/1538-4357/ae1734
7,text-image,same_figure,unique,same_figure,True,caption_exact,1,15650,10.3847.1538-4365.ac324a_apjsac324af15_16863,apjsac324af15,10.3847/1538-4365/ac324a,image_raw_exact,1,15650,10.3847.1538-4365.ac324a_apjsac324af15_16863,apjsac324af15,10.3847/1538-4365/ac324a
8,text-image,unmatched,ambiguous_disagreement,same_figure,,caption_exact_ambiguous,10,,,,,image_raw_exact,1,53753,10.3847.1538-3881.ad3045_ajad3045f12e_59177,ajad3045f12e,10.3847/1538-3881/ad3045
9,text-image,same_figure,unique,same_figure,True,caption_exact,1,12771,10.3847.1538-4365.ac94d3_apjsac94d3f3_13759,apjsac94d3f3,10.3847/1538-4365/ac94d3,image_raw_exact,1,12771,10.3847.1538-4365.ac94d3_apjsac94d3f3_13759,apjsac94d3f3,10.3847/1538-4365/ac94d3
10,text-image,same_figure,unique,same_figure,True,caption_exact,1,90112,10.3847.2041-8213.adc2f8_apjladc2f8f7_98246,apjladc2f8f7,10.3847/2041-8213/adc2f8,image_raw_exact,1,90112,10.3847.2041-8213.adc2f8_apjladc2f8f7_98246,apjladc2f8f7,10.3847/2041-8213/adc2f8
11,text-image,same_figure,unique,same_figure,True,caption_exact,1,58258,10.3847.1538-4365.ad226a_apjsad226af3_64098,apjsad226af3,10.3847/1538-4365/ad226a,image_raw_exact,1,58258,10.3847.1538-4365.ad226a_apjsad226af3_64098,apjsad226af3,10.3847/1538-4365/ad226a
12,text-image,same_figure,unique,same_figure,True,caption_exact,1,27840,10.3847.1538-4357.ace624_apjace624f14_30093,apjace624f14,10.3847/1538-4357/ace624,image_raw_exact,1,27840,10.3847.1538-4357.ace624_apjace624f14_30093,apjace624f14,10.3847/1538-4357/ace624
13,text-image,same_figure,unique,same_figure,True,caption_exact,1,606,10.3847.1538-4357.aca476_apjaca476f1_631,apjaca476f1,10.3847/1538-4357/aca476,image_raw_exact,1,606,10.3847.1538-4357.aca476_apjaca476f1_631,apjaca476f1,10.3847/1538-4357/aca476
14,text-image,same_figure,unique,same_figure,True,caption_exact,1,51336,10.3847.1538-3881.ad7956_ajad7956f15_56501,ajad7956f15,10.3847/1538-3881/ad7956,image_raw_exact,1,51336,10.3847.1538-3881.ad7956_ajad7956f15_56501,ajad7956f15,10.3847/1538-3881/ad7956
15,text-image,same_figure,unique,same_figure,True,caption_exact,1,15816,10.3847.1538-4365.ac366e_apjsac366ef6_17029,apjsac366ef6,10.3847/1538-4365/ac366e,image_raw_exact,1,15816,10.3847.1538-4365.ac366e_apjsac366ef6_17029,apjsac366ef6,10.3847/1538-4365/ac366e
16,text-image,same_figure,unique,same_figure,True,caption_exact,1,83573,10.3847.1538-4365.adde4a_apjsadde4af7_91177,apjsadde4af7,10.3847/1538-4365/adde4a,image_raw_exact,1,83573,10.3847.1538-4365.adde4a_apjsadde4af7_91177,apjsadde4af7,10.3847/1538-4365/adde4a
17,text-image,same_figure,unique,same_figure,True,caption_exact,1,47086,10.3847.1538-4357.ad84f8_apjad84f8f2_51660,apjad84f8f2,10.3847/1538-4357/ad84f8,image_raw_exact,1,47086,10.3847.1538-4357.ad84f8_apjad84f8f2_51660,apjad84f8f2,10.3847/1538-4357/ad84f8
18,text-image,same_figure,unique,same_figure,True,caption_exact,1,87209,10.3847.2041-8213.ae09a8_apjlae09a8f4_95160,apjlae09a8f4,10.3847/2041-8213/ae09a8,image_raw_exact,1,87209,10.3847.2041-8213.ae09a8_apjlae09a8f4_95160,apjlae09a8f4,10.3847/2041-8213/ae09a8
19,text-image,same_figure,unique,same_figure,True,caption_exact,1,64713,10.3847.PSJ.ad7f4e_psjad7f4ef3_71359,psjad7f4ef3,10.3847/psj/ad7f4e,image_raw_exact,1,64713,10.3847.PSJ.ad7f4e_psjad7f4ef3_71359,psjad7f4ef3,10.3847/psj/ad7f4e
