id,component,fold
0,obj:8cd851319e43759598460371f45b179d15a7104b8afcf4fe5c520ab04476c2ef,4
1,obj:ca01007187b8e8c2a62e1ede01b379e285fe674abf2459e6b8a56226b27f4ef0,1
2,obj:f92104813f5c48b4b75731bf6231a0be74a2d273b09939c6abab69908e3e7771,1
3,obj:e0872de8fd8cda99dd40633dbd5f751ada620bf42b6e1e1806afd934956df80d,2
4,obj:3145caebd104b4a31f717f4514cd5826d28c49add0c1e6ec0db1670bce601ec5,3
5,obj:951b39dc931054291c8992dfc5416dcc5d508535a647c4f2a3cf6fddf87653f4,4
6,obj:1d90d617f213287363ecc5e6a62b81f943b8f80bff0f4730a74e4a0644ed9da6,2
7,obj:73f5c21e7076394bc707d5f3d0514357e337b6374e45a3d0c57b93587a256668,2
8,obj:558c517069e6b1447edc0a86845067f002962b9c9c0828ca69f7b839f53c40ca,2
9,obj:45362a75000c084757cd08479e4fa728ab9eff667078384c98e1758239c63d54,3
10,obj:1810d4049982848241a3e377d8c88bf5920e4ed4ee447468e663b2d0604f84d1,2
11,obj:bf5b46ceeb06b2034049781c55707a34f354efa1279cc224a32a40412242a073,0
12,obj:5a5ba9d8c873b5a833fbd0b2727aa190a19e852a39df4aa292c8f3efbdebee4e,4
13,obj:a0fc9373f9c4752f234391c508a2210e7b4430393a5339152f67079f754754ea,3
14,obj:6fa85eec8f98f119fd6bb3562a2998bacf66ebc0a9d2b45624306412cc92c66e,3
15,obj:7af798ed2beb2c27d18760f1112044691321995ebe42704db0e399af7e4f2117,2
16,obj:972957a92f4336c3758527cff7f0d901c035ae4dbd06e09eb04ee063c20a4d3a,0
17,obj:803dbc337ee3a2a51c1efa65d31bbb47d118a232c4f6bd74364e155d1b746b5e,4
18,obj:d4a1470e7e57a262daef20ad2f378d934ef6af5c63a7949e8a983da712c1d5c2,4
19,obj:d6a7db905403b0620bf5c6343015b5de7df9af636f6c76188712ef30b8c9f62f,4
20,obj:9cae2ffe1a549c6e0e181a4aee08e3fdea9a8c53ea3cdcd8b88bc6ef5bdfcad2,2
21,obj:558c517069e6b1447edc0a86845067f002962b9c9c0828ca69f7b839f53c40ca,2
22,obj:901391384eccc432f05ef3ac2d818d145696016d0541d2465097223f61bc1b72,3
23,obj:d24e2b176d7fc6a451ca1c49117682469fbb78e878318769ee538f1953ac31b7,2
24,obj:894977fcd35201c7e78773060d7f2e200a076da264307a78328b6449bfe1fe25,2
25,obj:a3cbfc4a0d3db8e888d5437bfeb68adf952927fcd6b5edc78135f759c26f53ae,4
26,obj:8880223f45ab96a27ddf8985ba7e1b3343e953b7cf47c4e1229631f13482542e,0
27,obj:db58016f2ba0917a9277bdfe8cb6472c05d1d654d661728a9280d7a246c2cd56,3
28,obj:60c0452dc428c416d2c5875d5bbf2853bb4a133b40fa6afe64a8789739cadcdb,4
29,obj:2d305cf10fbb2031ebdcc22cc816a918c53a47df7a70eb307ecd6c9529c16648,4
30,obj:fb02dfe82579dc8f9d2ad646ec6849a14f8dfe6581a30f3f7c07802ecbd05291,4
31,obj:222a2af2d2327cff08c96a762226747805240d9f8cbf490a527ed079d2c36902,2
32,obj:023d2e3a83cfdc7766c941d25c841ff10fc045ff023bacba673ab187ce7de07a,4
33,obj:707b5c9cc7c4996d202c82c9b1e4d5e46292b1f98da3f648e0940285e0dafcde,4
34,obj:232cbffd61f1ac343df26409914875b1a8d7314b2be1988e1ff72abb75bd633c,2
35,obj:b27d72544d7b625ce1076e3787a305ea66f9637e23ba020bdaefca6441fc885f,0
36,obj:1de6c7f54e1fff9170a7fb69220cf9d500606a6a98f1985eb6b5f07acdfe4b5f,2
37,obj:ff57bec0332c2c1b775772e05cafe7a2d4ff2b05297297aeb1eac4af909b906f,2
38,obj:a681851a8e4204111b0c29a47bc4fa09fecbd6f1dd24060d13ce5a0560f18cae,2
39,obj:e26f36332a39ccba62094a4e0f972ea49aedb794f4b4e47166e2000e90c79b00,4
40,obj:79d1aff898829b64aa65e8150a9e9afdda1e39f6663a08a6dceece2c37416f0f,2
41,obj:ca2ff4ac0c5ea2d56103097c3e0f64a6d165b44976a3c38a4ce5f50d144572b3,4
42,obj:d33e64f64a7f567baf370618e2b3cdd3b756ae665cef3a02fe2758fdf2f4a463,4
43,obj:fafb50bcaf635db18b6b53500aecc085f01b2967554b930edc1882a15a1f333f,2
44,obj:0074038198cc552e628079641275559385242991f73b8a31f761adef057e854b,0
45,obj:0449093a43546338714fbf0c7067bd88b1f34025b946d5ffff0e94c1855d71d6,0
46,obj:ca5f2c40a7087963d4a80145f606d776cb460c785a6ce1c7ee646d3fb63a1f90,1
47,obj:ae15ed363571a99e2e506823e2ca18bda8490cebe52adfff565b88bb93b07f7a,3
48,obj:cdcc0a6abfe4cdd239dd141e2f93df235efc3c7e538bf5835d9297aad86990be,4
49,obj:dc831adc7d1d9d0c8f0b76b61c46935b97c7254523aa713f464ad753d135c571,4
50,obj:bef76cad5361a3359ac9050bdf7c5cee53854424331f662b4b574fa404fa0515,4
51,obj:47885cb3f63fab3665919d170b7b7e901030ee36104c2a66be1df5dbebabae19,1
52,obj:9151f57708ce3e918995843a4ff3879662fae62f3476d851b519bd63f3aa674b,0
53,obj:55c49a17a53b9f95870ec87c1cb7dc0c08fcde9c866a652bfc008494c0902226,1
54,obj:1de6c7f54e1fff9170a7fb69220cf9d500606a6a98f1985eb6b5f07acdfe4b5f,2
55,obj:66f6a337acab0a3e7f75cad1006f08252420db043f864125838e1f34bbe5aba9,2
56,obj:b413e9e0ef7e5b9c7e15bc78c9315300d4c73f691eac6a114ae2e3ac4ad3c783,3
57,obj:bc09b174f8801b7d33e2b234b626baa66eb11cbba9da611e488f70dbfa69ca29,0
58,obj:097f986970720b9a9cd77cb09a988daf65da5ef572fa602c2b7d2eb3c509059c,4
59,obj:9923a061004ae9fcefe1b001dd3806bcd63fd1caf19b75e9b2809225590d958c,0
60,obj:6ad40eed9f6ba480aa72a99ecde93d0724ee84b048aa801c9c3dac88d69a81cf,4
61,obj:53620214ccac5c93a81378c0cad2a9d10b8fb000b30ef1136cff49a619b43fc4,1
62,obj:d6d194c654fa662e500f150919ac9e46c4c1561c2e274207cac5418dcedbe4e7,0
63,obj:728f54db179984c77d28948265700062285b9df56c8944442592f3482d796fd4,4
64,obj:c6b41619c33574ab55784ffa7b811e969035b65a148486fce1be6ae7a6bba1a4,2
65,obj:76717d0f0b12b3e42c96401a42613533488fcf4f807424e1d33cc36eac981b1c,4
66,obj:f58d08c930f5a71d2905cabd950af27530c0ac66081a61a7d0c7daad79d41bcb,1
67,obj:678068bc111df93e9cfb5b8775ce1e57e216ef87123563c6c95f464dae63045a,4
68,obj:04c79c7c415b86e5017fefcc9ab075b146c0365a06490125db71fec0b696c6e1,0
69,obj:1fb86c5acb71ae2041fea2b72b2552ec78a99a20717291f6a6741230620dfd63,2
70,obj:d7a5b49ad68f45ffe296ce8841b232c90ad8856bb48a848d92d70416e1124e6f,0
71,obj:6f42c582dd6e7b27eddd6730b11995ca503093dad0f4987c546821d807630805,4
72,obj:60d782c2fa27b06e5f052acfdc3dc605cec9e76968a06058459ce8ead2e6b713,3
73,obj:bef76cad5361a3359ac9050bdf7c5cee53854424331f662b4b574fa404fa0515,4
74,obj:590297843ee2d5b578df852cc6be0730cdd910a51a83a5bf2b66b81431f53f84,2
75,obj:b06e1ed11d051eebe1402646e1767344804c5ae784f3a7224974147886251d4c,0
76,obj:52e972022f2e2d97a6dde314ca4162559daaad0edadbee8119ff408c24e8b99a,4
77,obj:b34c5fa068eb8545d456883f299f9d88c07bc434aabd6e8a6ab89a0c98526df4,2
78,obj:a6c88faa6c285ac22c7ee6d5cb818ccbd568cc62b83df86250ff790d829791e5,0
79,obj:236fe71fd3379a1263e463fd88ef14642c05404f9060eb665ec4888bc8bd2d7e,4
80,obj:9092fea0ed1ffa5ffbbc1bcd4fe3015467de4bb65e045df11afca1a5a923b50a,0
81,obj:1eb08775be4e677406fa7b64a5ba865b9affc8bf7700c36f3e273b45a7d8c200,3
82,obj:a2d5bb1c231e1947a79ae93d2aa4f36df54ff1af6a969495731437447ff2dbfc,2
83,obj:db67588bae68c66cb267dc4150d77b62a2f1e33f9434e1beafaa47ee48261de5,4
84,obj:3c23596f0c98bfaf1fd934c97807ecfa4d4de26c2706a819020e9f14bc7d9a98,4
85,obj:0dde9032a9fc564b304e233dcd377f272afbc8c3e3b58a8cd7e791e6bd080d61,0
86,obj:b853dd44bd562abafa5965c6d082e4e4ce135ffe60395967b3bbf6f3d85517a8,1
87,obj:b2c52832f93128f8daea8afc34a19cb43ddbfdfd2e081abddeb12aa65318504b,2
88,obj:64d68c4ce039f71783057d0fbc96b6634d4380c39639534ec84fd1446e3a7606,3
89,obj:44bb214eced43958b921da11fb589b331de20517d7c4f38fde199fb0a6faa574,0
90,obj:366e0685e1771c768819b26930ae3c843ecd14357cc9cf28fb053625ee003cf2,3
91,obj:2bdb6d687ee3ed3f766ee15b17bc8e4eec4837d40cad088cd2e55217e6806fa2,1
92,obj:fac9030a6df608a9283ce6a9d26af090ff2c486f388510eb60dff3ebab9582e2,3
93,obj:4994774694a9ef7a4e6c651c692f7339893a3e22fea05ee3aa2ca185d3ed62dd,4
94,obj:b189c73e34b8e27dec46f0e65adb0b9a34868619da71a2a42b77dcf74eb1ff82,1
95,obj:567475c1054656b0925bc19e54796047816fbca9eda35b5969cdf9afc1aff5a6,1
96,obj:f41f8f694efffe7106adb9002b3ef5920f971d34416c529566656d6bbc75a579,4
97,obj:9b2d16a5475c7b3bb51124a28fac2c68aa962e53389bad6d221a54526a13913c,1
98,obj:775ff5b67e4aef0e187b24ded62f9a0f9eefeef571ad482f7320782e4e2cb892,4
99,obj:79397538155dfca0b813e0fbea4c4459bf58e4e86d3aaf4b8934028f07b4a7b1,0
100,obj:bbc4a7785c9d389187a2dabd1f4bbba0a1f8397f0937d559bef4fdd7bba5153f,2
101,obj:590297843ee2d5b578df852cc6be0730cdd910a51a83a5bf2b66b81431f53f84,2
102,obj:af3a11915eff4be86e23fa28a1be1738c62aebf839e95309019ee7bdbd54926c,0
103,obj:fe4a38829530f26165f72c66989dda82aa6d5ab79b6ed22c27c6abcdd0e6d0b9,4
104,obj:a673cd3c2040c459c67b2eb7c1bebe827daf72511c8516099b47974cb1c2540d,2
105,obj:a0758ab2a908180dff98fd16e6495440183b176d2fc3c4be5a760d6609ecf564,2
106,obj:12f51d9a75b8013040a505aa38faf893599680601eb8e26d3a8a4ef81c6e9265,4
107,obj:2f58d701493fa74ea16f1a422d50eaef3606c958c921361e6cd3eef3ec0e1a2e,2
108,obj:a2477681ca69b3021b373a0d83996a90d6346f2e1711d2f870118c33a20f3888,3
109,obj:1e46bfbec2e84c940731284604c089cc0686bed104d11a1a2bc82b83457fd95e,1
110,obj:d0bcaa66150fc58722b53e9d7244b608cc25036eb718b2520a4564ef859947a6,4
111,obj:22b71aaf7febd3ecf1d26705b2a651de070cce606513fbd9b11941f763d18e33,1
112,obj:c7a7109f621f9188d7c54452cd487bae0552d3e8f9ced5ebc22e72ecb68781b1,2
113,obj:30de4b5a1ebc70979adde4b1de25cbd8521652081f16eeb1afb7d3b8ca752726,3
114,obj:482ad3a35c9145a131d886195b453562a37355b8ce7bd6aaec5480e79fd52f63,2
115,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
116,obj:8ed241e9e66f276f258064907cabeda0ba53afdb0234d6f7ecfc6b7640f12986,0
117,obj:816fdacab98131b867a755bb2c19b4729c5fdb86036960e0ce1165192ea71287,1
118,obj:f8b621e0ffc66dfe0e59f707f32dc6047e9449caf4df026d60bef5473095c509,1
119,obj:4b1cbe4598f937efb9ce2165673c4d974122008fc50b16960b371b2a23845dec,2
120,obj:7145159f6c4158f1129827e7d378ed7f843269e554582c5922d0baf0badc977e,2
121,obj:6eaa8c56ad425422e88ac3cb8200245e10cf1c950c812773ebd4cec135c0f6fe,3
122,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
123,obj:ee54fe3c65ca9ba4dcdbce1afcb5110bf2f26f36e5d5c34a91998f70d626adde,3
124,obj:fe4a38829530f26165f72c66989dda82aa6d5ab79b6ed22c27c6abcdd0e6d0b9,4
125,obj:0b8f8110e7677f9e0bb20c91117de56c63b680cfc426fb14ffc0c68d25d952a7,0
126,obj:3dfd4a919d22b35d9f2ca247de364afe68a08d25ed4f87a82e3b6bbae816e18f,1
127,obj:9e70939ccd8860db6f9f1bb78dfe087557a2f7acebe648357b621e1e7d15bbff,1
128,obj:91b87ca334087c79c6d4e87b003f67751d20dea3ee777fcb7afba5bb906619fd,0
129,obj:7cd82545b39c0eff91afdfa604793dbcce0245eb5f124a6e5890bd795e5aa1bc,1
130,obj:edda9819ce7959f7a8c49604729b4e133eb045365ec7413d332fbf48e23ff619,1
131,obj:3ae4ad13083a344343a33dd2897dfe8d72f3df7a3a099575b196877e49fe4ab3,1
132,obj:767e46755f98edd87811e121801e757c083abe526ad2f378d79537e3aa37ea86,3
133,obj:0b3afe9821d261e1330541d5a37523a9a65f458982195c1f099d24bab1050f38,2
134,obj:678068bc111df93e9cfb5b8775ce1e57e216ef87123563c6c95f464dae63045a,4
135,obj:1b168cf4185c476400b1952a7111f3269f825a2d7d48399b8fa9feea3b30c049,0
136,obj:bdc4e859742a25b7a47fc65ae75659104dbce19f68d62360da104fac67c1c117,1
137,obj:f9835710120cb346170727d2f87d10a22fd44ef389681df056634d0e70093c93,3
138,obj:bcf803b3081c374a68e5f589e0ba832bc388dd0bbb9b58b14309f44db0dc3e62,1
139,obj:10679ae1947cd394ef5556de20c724c90e2de6ccf4721067e2876f42380a8c8c,4
140,obj:546e215cf8b0d12d0847b678f1050e20ea2afef5fd3662dbcef57ad570a6f3c8,2
141,obj:f3b25c09cfdc8606b947444051fe62c0e77558091968b3a078e585372b7f8f04,0
142,obj:b875041dfe37fc4fbc698702d333efcd57986de64e92eaa38b1c1988cf8fba93,2
143,obj:bc44cf4b68455bb975c3769025536441435a3eb4431b181ffdd89ee6f6f0119a,4
144,obj:199d05fef2bd2b59f25f45bb430a77402ed7d7a8caf26d05223847efd5d9ab0c,0
145,obj:3f9fd4536ba3f7c602a0df557895d4d49a1e401aab0aab9f24b9372f96df7750,1
146,obj:cdd06e90f6a1c59ac8d6cab403dcd650a262879bea6b4d71fa9b2186444c995a,1
147,obj:919aa22b9e623f3ff86057739a6e10113ee87d9b8bed693300035b0993858810,2
148,obj:e842a711eca6459f0d8854553f45bea83384cf41e08051a07ed3412e6b805576,1
149,obj:0bce5c19f33a48f32e4ec0899c403aeef98ab5985364afd20cfd4b4838c6b1e4,1
150,obj:97f0f6ab1cc802c5729dad681328513cacb64bd81421985ac574e7adf93681eb,2
151,obj:3922eb4fe458b8c1b26f9a73402394701a16478311254ee33a5038712e011a83,0
152,obj:04767657163c72233d9e8a54af41009c392ad3c83d5411f90a50656341d9e6b8,4
153,obj:fcc768518366f25501abb99f7f4535bbc8087982fac4db11491ff3c6589909ae,3
154,obj:b2b86279eba0be48efde3d1c39a437e38d6621847b826727e53c742b59d2e50f,1
155,obj:34fe2d6e21693e0061ebbb0eede8129002192bd71e6204bb5731a23198daae3c,0
156,obj:881cbdc8826622e745b77b3f3fe48c1f108dffd1849555900775ea848669afdf,1
157,obj:db1f95aa070eeef104de07b37cfb1486ea01ca38c78cf25197a95019175a432a,2
158,obj:74e0fe7e0bb5268ea1b0cb7eca69c6a17b55edfe56a111cf3e8ec15b9b241a60,4
159,obj:69f081c1b8adcaf6f6aab57c7d41798bb2837c35aad4a63ae3bcc90d97abf5f8,1
160,obj:9c984d7c3043c6e30786d183ae717347e9f9fae7230d9eff343363c64ef5e966,0
161,obj:3dbeb3d5eaeec7505fcaa61061a6b1422951abfbd8d1df209bde4de0e49146ad,4
162,obj:cbc63221f137748a3b8fee24f07ab1319043c296f71a574ff4dc47b72e0adcca,2
163,obj:eccf608ab1311c270972b2bde1b11074b67e485d7b362f2b1b5dd693acc6a8d1,4
164,obj:fdb78c2d62ee527d4ee63bb8988a5a3da0dc1869384e4371af2c75833f29bc69,1
165,obj:4a54c8fda7dc91a3384e1d6bcc1e23f936272474dd7fdc0ed2617fbb690a5b5e,0
166,obj:9092fea0ed1ffa5ffbbc1bcd4fe3015467de4bb65e045df11afca1a5a923b50a,0
167,obj:91b87ca334087c79c6d4e87b003f67751d20dea3ee777fcb7afba5bb906619fd,0
168,obj:4c206ec3776d37a08f0bee0560b02445162d1e99ac4c03e5f6a1288a8bf6afd0,4
169,obj:a97288eadac108cc9837ca449984b2eaeeea8c7074921c27a9ea95f79a39b246,0
170,obj:0e3d2a7acd5b03c38dc9451efae23107010d445c87c718a58ae54f8a4ddce40a,1
171,obj:da256549f232cd20673034481973e503e68bb655aa7da22070120ac93432cfab,0
172,obj:327dbdab56a83001daece5fe35d8f78a4e249d4e7444dec1651d42b0de4ae0f5,1
173,obj:0862b2aa6697cf4c458e48b37df110e0214acc6d280c28e6faaadba4b3ce1543,1
174,obj:b693ef7d112c69b7323c5551b153e1753e01850a343f5e78868c3f1c2904869c,1
175,obj:3c7c09855b82ced54dc1e98ab8c8f0ccc2975b0cfdb89362b3da618d0b868a36,2
176,obj:d91da974f4197596a6686f617773fdc59019c1349dd73602698be99d3e51b802,3
177,obj:c1d5368d08c9f76ed7addf8473a549547a226a717cd0c369b2130451a05a4f8e,0
178,obj:b06e1ed11d051eebe1402646e1767344804c5ae784f3a7224974147886251d4c,0
179,obj:1c3b2ca06ff71675aa99f3cfe373a6aac9c1f79975a0289ddc129dd8f519c244,0
180,obj:29eece8688757872f4e16f89fa29c7ada0d21e23ffa0aca5c9059196fe854c99,0
181,obj:2bd473c37a5e3539d1dfaedbee2b8d42bfbf5a73b9b30557135a702879578a21,4
182,obj:3888e0d1e4691f641c6b93148391b96267613910c1a36edabca349a32d423fc3,1
183,obj:466e3fc198c92e1164a446bd42c513a6ff99e17506484fa027611ac9de5462fb,3
184,obj:6428275eb2c9a1fc1dcc64c49041ce7b592586e6dcb80d189f63605a53d2be35,4
